Name,Available Bikes,Latitude,Longitude
Barrack Street,2,53.809275,-1.538301
Carlton Hill,2,53.808573,-1.54171
Portland Crescent,3,53.803009,-1.546513
New York St/York St,5,53.796468,-1.537111
Leeds Arena,1,53.803793,-1.543808
St Peter's Place,4,53.797163,-1.532786
Holborn Approach,4,53.813295,-1.551715
Kirkgate/New York St,0,53.796437,-1.539133
Westfield Road,4,53.801608,-1.563769
Waterloo Street,12,53.792991,-1.539206
Temp Event Leeds,0,53.800111,-1.547192
Meadow Lane,2,53.792406,-1.542654
Woodhouse Moor North,4,53.814274,-1.561378
Town Hall,0,53.799708,-1.549986
Park Square South,0,53.798695,-1.552749
Westgate/Park Sq,0,53.799488,-1.552656
Leeds Minster,2,53.795528,-1.534271
Shire Oak Road,8,53.819993,-1.57636
Swinegate,2,53.7941,-1.543125
Merrion House,4,53.802844,-1.54549
Portland Street,3,53.801092,-1.550905
Infirmary Street,3,53.797849,-1.548942
St Annes Street,4,53.80032,-1.545195
George St/Dyer St,2,53.797839,-1.53647
Crown Point Road,5,53.791243,-1.538716
North Street,0,53.801323,-1.539106
Victoria Gate,1,53.798597,-1.53671
City Sq/Park Row,13,53.796545,-1.547035
City College,4,53.789769,-1.537523
The Parkinson Building,6,53.807496,-1.552146
Spring Road,1,53.816953,-1.577169
Cardigan Fields,8,53.805772,-1.582407
Kirkstall Leisure Centre,4,53.816022,-1.601791
Leeds Beckett Students Union,1,53.82733,-1.591589
Leeds City College - Printworks,2,53.789337,-1.537598
Carnegie Building,2,53.827941,-1.593998
Converse Column,2,53.805196,-1.549103
Central Village I,0,53.804793,-1.548765
The Edge Sports Centre,4,53.804341,-1.551686
Roger Stephens Entrance,2,53.805149,-1.554792
Central Village II,0,53.803985,-1.549647
Depot Test Bay,0,53.780104,-1.576042
Victoria Road,1,53.814804,-1.566911
Norwood Terrace,1,53.814276,-1.575062
Pearson Sound,2,53.811812,-1.570613
Leopold Street,3,53.812608,-1.533964
Scott Hall Grove,1,53.822054,-1.543612
Spencer Place,3,53.81132,-1.525756
Chapel Allerton Centre,2,53.829229,-1.538287
Brudenell Mount,4,53.812363,-1.568583
Norwood Gr/Welton Rd,3,53.81312,-1.572689
Grove Ln/Meanwood Rd,6,53.824435,-1.563708
York Rd/Walford Ave,3,53.798032,-1.512785
Everleigh Street,1,53.797392,-1.514805
Cross Green Lane,4,53.788102,-1.517978
Easy Rd/Cross Green Ln,4,53.789825,-1.52323
Brewery Wharf,1,53.79298,-1.535996
Stainbeck Ave,2,53.827147,-1.560994
Stainbeck Rd/Stainbeck Ln,2,53.831125,-1.554845
Stonegate Rd/Parkland Cres,3,53.837225,-1.554645
Shepherds Lane,3,53.81652,-1.524252
Grange View,2,53.816995,-1.531142
Hyde Terrace,7,53.804607,-1.560885
Allerton Grove,4,53.843741,-1.533572
Potternewton Lane,0,53.825103,-1.546663
Falkland Mount,2,53.838314,-1.538311
City Sq/Leeds Stn,8,53.796158,-1.548617
The Calls,0,53.794904,-1.538713
St Peter's Buildings,0,53.796862,-1.534132
Shakespeare Gardens,2,53.804109,-1.518387
Marshall Street,6,53.788968,-1.552201
Gryphon Sports Center,4,53.807198,-1.563328
Whitehall Road,3,53.79166,-1.562981
Manor Road,3,53.789997,-1.548007
Beeston Rd/Moorville Gr,2,53.782055,-1.552254
Elland Road,6,53.779186,-1.5712
Queen's Road,2,53.809876,-1.56984
Hunslet Library,2,53.779555,-1.527835
Globe Point,4,53.79192,-1.552032
Woodhouse Ln/Raglan Rd,1,53.811194,-1.556313
