Name,Location,Rating
The Library,"229 Woodhouse Lane, Leeds",0.0
Mahmoods,"194 Woodhouse Lane, Leeds",0.0
Bakery 164,"164 Woodhouse Lane, Leeds",0.0
Woodhouse Moor,"Hyde Park, Leeds",0.0
The Stanley & Audrey Burton Gallery,"Woodhouse Lane, Leeds",0.0
Oranaise Cafe,"1 The Crescent, Leeds",0.0
Opposite Cafe,"26 Blenheim Terrace, Leeds",0.0
LS6 Cafe Bar Resaurant,"16 Headingley Lane, Leeds",0.0
Mays Thai Malaysian Cafe,"21 Hyde Park Rd, Leeds",0.0
Old Bar,"Leeds University Union, Lower Ground East, Leeds",0.0
Union Tavern,52 Lloyd Baker Street,4.3
Camino,3 Varnishers Yard,3.6
The Goat Tavern,3 Stafford Street,3.8
Neal's Yard Dairy,17 Shorts Gardens,4.7
Sergio's Restaurant,84a Great Titchfield Street,4.1
Savysec Security Services,20 East Road,0.0
Pinkcreamblue,Dalmeny Avenue,0.0
Global Buisness Link,119 Globe Road,0.0
The Victoria,1 Lower Belgrave Street,3.1
The Grazing Goat Marylebone,6 New Quebec Street,4.2
Simarc Electricals,,0.0
Mau Mau Bar,265 Portobello Road,3.5
D.Cass & Son,20 Farrer Road,0.0
